iter	Passed	Remaining
806	8417	2013
807	8424	2001
808	8434	1991
809	8441	1980
810	8451	1969
811	8475	1962
812	8485	1951
813	8505	1943
814	8512	1932
815	8534	1924
816	8541	1913
817	8564	1905
818	8571	1894
819	8581	1883
820	8588	1872
821	8598	1861
822	8604	1850
823	8614	1839
824	8621	1828
825	8630	1818
826	8637	1806
827	8648	1796
828	8654	1785
829	8664	1774
830	8670	1763
831	8680	1752
832	8689	1742
833	8696	1730
834	8706	1720
835	8713	1709
836	8723	1698
837	8730	1687
838	8740	1677
839	8747	1666
840	8757	1655
841	8763	1644
842	8773	1634
843	8780	1622
844	8788	1612
845	8795	1601
846	8804	1590
847	8812	1579
848	8821	1568
849	8827	1557
850	8837	1547
851	8844	1536
852	8853	1525
853	8860	1514
854	8869	1504
855	8876	1493
856	8885	1482
857	8893	1471
858	8902	1461
859	8909	1450
860	8935	1442
861	8954	1433
862	8964	1423
863	8971	1412
864	8991	1403
865	9000	1392
866	9008	1381
867	9016	1371
868	9024	1360
869	9032	1349
870	9040	1338
871	9047	1328
872	9055	1317
873	9062	1306
874	9073	1296
875	9080	1285
876	9090	1274
877	9097	1264
878	9107	1253
879	9114	1242
880	9124	1232
881	9131	1221
882	9180	1216
883	9194	1206
884	9203	1195
885	9210	1185
886	9219	1174
887	9226	1163
888	9234	1153
889	9242	1142
890	9251	1131
891	9258	1120
892	9266	1110
893	9273	1099
894	9282	1089
895	9289	1078
896	9298	1067
897	9305	1056
898	9314	1046
899	9322	1035
900	9342	1026
901	9351	1015
902	9358	1005
903	9369	994
904	9377	984
905	9385	973
906	9393	963
907	9401	952
908	9420	943
909	9428	932
910	9435	921
911	9445	911
912	9467	902
913	9477	891
914	9485	881
915	9494	870
916	9501	859
917	9510	849
918	9530	839
919	9539	829
920	9547	818
921	9556	808
922	9564	797
923	9573	787
924	9580	776
925	9589	766
926	9596	755
927	9605	745
928	9612	734
929	9621	724
930	9627	713
931	9636	703
932	9643	692
933	9652	682
934	9659	671
935	9669	661
936	9676	650
937	9685	640
938	9692	629
939	9701	619
940	9708	608
941	9717	598
942	9724	587
943	9734	577
944	9741	566
945	9752	556
946	9759	546
947	9768	535
948	9776	525
949	9784	514
950	9792	504
951	9813	494
952	9821	484
953	9831	474
954	9837	463
955	9846	453
956	9854	442
957	9862	432
958	9870	421
959	9879	411
960	9886	401
961	9895	390
962	9901	380
963	9909	370
964	9918	359
965	9925	349
966	9933	339
967	9940	328
968	9949	318
969	9958	307
970	9966	297
971	9973	287
972	9982	277
973	9989	266
974	9998	256
975	10005	246
976	10015	235
977	10022	225
978	10032	215
979	10052	205
980	10061	194
981	10068	184
982	10077	174
983	10085	163
984	10110	153
985	10116	143
986	10125	133
987	10131	123
988	10142	112
989	10149	102
990	10158	92
991	10165	81
992	10175	71
993	10182	61
994	10192	51
995	10199	40
996	10208	30
997	10228	20
998	10237	10
999	10243	0
